"lakeid","lakename","year4","daynum","month","sampledate","depth_id","depth","comments","nutrient","concentration"
"L","Paul Lake",1991,217,8,1991-08-05,3,1.5,"","tn_ug",343
"L","Paul Lake",1991,217,8,1991-08-05,4,2.5,"","tn_ug",321
"L","Paul Lake",1991,217,8,1991-08-05,5,3.4,"","tn_ug",352
"L","Paul Lake",1991,217,8,1991-08-05,6,5.6,"","tn_ug",367
"L","Paul Lake",1991,217,8,1991-08-05,7,8,"","tn_ug",1235
"R","Peter Lake",1991,218,8,1991-08-06,1,0,"","tn_ug",288
"R","Peter Lake",1991,218,8,1991-08-06,2,1,"","tn_ug",289
"R","Peter Lake",1991,218,8,1991-08-06,3,2,"","tn_ug",271
"R","Peter Lake",1991,218,8,1991-08-06,4,3.6,"","tn_ug",296
"R","Peter Lake",1991,218,8,1991-08-06,5,5,"","tn_ug",274
"R","Peter Lake",1991,218,8,1991-08-06,6,8,"","tn_ug",317
"R","Peter Lake",1991,218,8,1991-08-06,7,12,"","tn_ug",703
"L","Paul Lake",1991,224,8,1991-08-12,1,0,"","tn_ug",383
"L","Paul Lake",1991,224,8,1991-08-12,2,0.65,"","tn_ug",388
"L","Paul Lake",1991,224,8,1991-08-12,3,1.5,"","tn_ug",362
"L","Paul Lake",1991,224,8,1991-08-12,4,2.5,"","tn_ug",329
"L","Paul Lake",1991,224,8,1991-08-12,5,3.4,"","tn_ug",349
"L","Paul Lake",1991,224,8,1991-08-12,6,5.5,"","tn_ug",419
"L","Paul Lake",1991,224,8,1991-08-12,7,8,"","tn_ug",1273
"R","Peter Lake",1991,225,8,1991-08-13,1,0,"","tn_ug",317
"R","Peter Lake",1991,225,8,1991-08-13,2,1.3,"","tn_ug",312
"R","Peter Lake",1991,225,8,1991-08-13,3,2.4,"","tn_ug",345
"R","Peter Lake",1991,225,8,1991-08-13,4,4,"","tn_ug",326
"R","Peter Lake",1991,225,8,1991-08-13,5,5,"","tn_ug",354
"R","Peter Lake",1991,225,8,1991-08-13,6,7.4,"","tn_ug",402
"R","Peter Lake",1991,225,8,1991-08-13,7,12,"","tn_ug",946
"L","Paul Lake",1991,231,8,1991-08-19,1,0,"","tn_ug",415
"L","Paul Lake",1991,231,8,1991-08-19,2,0.9,"","tn_ug",383
"L","Paul Lake",1991,231,8,1991-08-19,3,1.6,"","tn_ug",387
"L","Paul Lake",1991,231,8,1991-08-19,4,2.6,"","tn_ug",349
"L","Paul Lake",1991,231,8,1991-08-19,5,3.4,"","tn_ug",325
"L","Paul Lake",1991,231,8,1991-08-19,6,5.2,"","tn_ug",381
"L","Paul Lake",1991,231,8,1991-08-19,7,8,"","tn_ug",1217
"R","Peter Lake",1991,232,8,1991-08-20,1,0,"","tn_ug",280
"R","Peter Lake",1991,232,8,1991-08-20,2,1,"","tn_ug",267
"R","Peter Lake",1991,232,8,1991-08-20,3,2,"","tn_ug",303
"R","Peter Lake",1991,232,8,1991-08-20,4,3.4,"","tn_ug",317
"R","Peter Lake",1991,232,8,1991-08-20,5,4.5,"","tn_ug",295
"R","Peter Lake",1991,232,8,1991-08-20,6,7.3,"","tn_ug",306
"R","Peter Lake",1991,232,8,1991-08-20,7,12,"","tn_ug",723
"L","Paul Lake",1991,238,8,1991-08-26,1,0,"","tn_ug",345
"L","Paul Lake",1991,238,8,1991-08-26,2,0.7,"","tn_ug",398
"L","Paul Lake",1991,238,8,1991-08-26,3,1.4,"","tn_ug",373
"L","Paul Lake",1991,238,8,1991-08-26,4,2.35,"","tn_ug",317
"L","Paul Lake",1991,238,8,1991-08-26,5,3.1,"","tn_ug",301
"L","Paul Lake",1991,238,8,1991-08-26,6,5.15,"","tn_ug",289
"L","Paul Lake",1991,238,8,1991-08-26,7,8,"","tn_ug",1074
"R","Peter Lake",1991,239,8,1991-08-27,1,0,"","tn_ug",275
"R","Peter Lake",1991,239,8,1991-08-27,2,1.1,"","tn_ug",296
"R","Peter Lake",1991,239,8,1991-08-27,3,2.12,"","tn_ug",320
"R","Peter Lake",1991,239,8,1991-08-27,4,3.67,"","tn_ug",336
"R","Peter Lake",1991,239,8,1991-08-27,5,4.9,"","tn_ug",279
"R","Peter Lake",1991,239,8,1991-08-27,6,7.74,"","tn_ug",307
"R","Peter Lake",1991,239,8,1991-08-27,7,12,"","tn_ug",714
"L","Paul Lake",1991,245,9,1991-09-02,1,0,"","tn_ug",477
"L","Paul Lake",1991,245,9,1991-09-02,2,0.6,"","tn_ug",488
"L","Paul Lake",1991,245,9,1991-09-02,3,1.25,"","tn_ug",411
"L","Paul Lake",1991,245,9,1991-09-02,4,2.3,"","tn_ug",342
"L","Paul Lake",1991,245,9,1991-09-02,5,3.1,"","tn_ug",403
"L","Paul Lake",1991,245,9,1991-09-02,6,5.25,"","tn_ug",343
"L","Paul Lake",1991,245,9,1991-09-02,7,8,"","tn_ug",1638
"R","Peter Lake",1991,246,9,1991-09-03,1,0,"","tn_ug",345
"R","Peter Lake",1991,246,9,1991-09-03,2,0.85,"","tn_ug",388
"R","Peter Lake",1991,246,9,1991-09-03,3,2.2,"","tn_ug",350
"R","Peter Lake",1991,246,9,1991-09-03,4,4,"","tn_ug",430
"R","Peter Lake",1991,246,9,1991-09-03,5,5.5,"","tn_ug",417
"R","Peter Lake",1991,246,9,1991-09-03,6,8.4,"","tn_ug",398
"R","Peter Lake",1991,246,9,1991-09-03,7,12,"","tn_ug",703
"L","Paul Lake",1992,141,5,1992-05-20,1,0,"","tn_ug",279.62
"L","Paul Lake",1992,141,5,1992-05-20,2,0.95,"","tn_ug",277.69
"L","Paul Lake",1992,141,5,1992-05-20,3,1.35,"","tn_ug",435.23
"L","Paul Lake",1992,141,5,1992-05-20,4,3.1,"","tn_ug",365.39
"L","Paul Lake",1992,141,5,1992-05-20,5,3.9,"","tn_ug",471.11
"L","Paul Lake",1992,141,5,1992-05-20,6,5.5,"","tn_ug",761.22
"L","Paul Lake",1992,141,5,1992-05-20,7,8,"","tn_ug",1067.63
"R","Peter Lake",1992,141,5,1992-05-20,1,0,"","tn_ug",347.15
"R","Peter Lake",1992,141,5,1992-05-20,2,0.95,"","tn_ug",448.79
"R","Peter Lake",1992,141,5,1992-05-20,3,1.85,"","tn_ug",339.81
"R","Peter Lake",1992,141,5,1992-05-20,4,3.2,"","tn_ug",314.62
"R","Peter Lake",1992,141,5,1992-05-20,5,4.1,"","tn_ug",286.18
"R","Peter Lake",1992,141,5,1992-05-20,6,6.1,"","tn_ug",339.76
"R","Peter Lake",1992,141,5,1992-05-20,7,12,"","tn_ug",521.88
"L","Paul Lake",1992,148,5,1992-05-27,1,0,"","tn_ug",301.32
"L","Paul Lake",1992,148,5,1992-05-27,2,0.95,"","tn_ug",309.08
"L","Paul Lake",1992,148,5,1992-05-27,3,1.9,"","tn_ug",407.59
"L","Paul Lake",1992,148,5,1992-05-27,4,3.15,"","tn_ug",349.19
"L","Paul Lake",1992,148,5,1992-05-27,5,4.1,"","tn_ug",317.21
"L","Paul Lake",1992,148,5,1992-05-27,6,5.7,"","tn_ug",238.37
"L","Paul Lake",1992,148,5,1992-05-27,7,8,"","tn_ug",1286.7
"R","Peter Lake",1992,148,5,1992-05-27,1,0,"","tn_ug",272
"R","Peter Lake",1992,148,5,1992-05-27,2,0.9,"","tn_ug",262.65
"R","Peter Lake",1992,148,5,1992-05-27,3,1.85,"","tn_ug",350.51
"R","Peter Lake",1992,148,5,1992-05-27,4,3.2,"","tn_ug",342.32
"R","Peter Lake",1992,148,5,1992-05-27,5,4.25,"","tn_ug",373.77
"R","Peter Lake",1992,148,5,1992-05-27,6,6.4,"","tn_ug",420.57
"R","Peter Lake",1992,148,5,1992-05-27,7,12,"","tn_ug",902.66
"L","Paul Lake",1992,155,6,1992-06-03,1,0,"","tn_ug",267.19
"L","Paul Lake",1992,155,6,1992-06-03,2,0.95,"","tn_ug",460.15
"L","Paul Lake",1992,155,6,1992-06-03,3,1.75,"","tn_ug",441.74
"L","Paul Lake",1992,155,6,1992-06-03,4,3.15,"","tn_ug",265.6
"L","Paul Lake",1992,155,6,1992-06-03,5,4.3,"","tn_ug",201.19
"L","Paul Lake",1992,155,6,1992-06-03,6,5.9,"","tn_ug",250.68
"L","Paul Lake",1992,155,6,1992-06-03,7,8,"","tn_ug",930.95
"R","Peter Lake",1992,155,6,1992-06-03,1,0,"","tn_ug",644.28
"R","Peter Lake",1992,155,6,1992-06-03,2,1,"","tn_ug",373.54
"R","Peter Lake",1992,155,6,1992-06-03,3,2,"","tn_ug",341.85
"R","Peter Lake",1992,155,6,1992-06-03,4,3.4,"","tn_ug",295.06
"R","Peter Lake",1992,155,6,1992-06-03,5,4.6,"","tn_ug",351.92
"R","Peter Lake",1992,155,6,1992-06-03,6,7,"","tn_ug",323.23
"R","Peter Lake",1992,155,6,1992-06-03,7,12,"","tn_ug",868.62
"L","Paul Lake",1992,162,6,1992-06-10,1,0,"","tn_ug",299.61
"L","Paul Lake",1992,162,6,1992-06-10,2,0.875,"","tn_ug",293.8
"L","Paul Lake",1992,162,6,1992-06-10,3,1.7,"","tn_ug",317.93
"L","Paul Lake",1992,162,6,1992-06-10,4,2.95,"","tn_ug",294.98
"L","Paul Lake",1992,162,6,1992-06-10,5,4.1,"","tn_ug",301.89
